,LocationID,Borough,Zone
6507,68,Manhattan,East Chelsea
6508,246,Manhattan,West Chelsea/Hudson Yards
6509,234,Manhattan,Union Sq
6510,162,Manhattan,Midtown East
6511,162,Manhattan,Midtown East
6512,48,Manhattan,Clinton East
6513,229,Manhattan,Sutton Place/Turtle Bay North
6514,164,Manhattan,Midtown South
6515,239,Manhattan,Upper West Side South
6516,162,Manhattan,Midtown East
6517,229,Manhattan,Sutton Place/Turtle Bay North
6518,132,Queens,JFK Airport
6519,143,Manhattan,Lincoln Square West
6520,186,Manhattan,Penn Station/Madison Sq West
6521,229,Manhattan,Sutton Place/Turtle Bay North
6522,233,Manhattan,UN/Turtle Bay South
6523,144,Manhattan,Little Italy/NoLiTa
6524,79,Manhattan,East Village
6525,125,Manhattan,Hudson Sq
6526,158,Manhattan,Meatpacking/West Village West
6527,211,Manhattan,SoHo
6528,164,Manhattan,Midtown South
6529,158,Manhattan,Meatpacking/West Village West
6530,116,Manhattan,Hamilton Heights
6531,141,Manhattan,Lenox Hill West
6532,24,Manhattan,Bloomingdale
6533,75,Manhattan,East Harlem South
6534,48,Manhattan,Clinton East
6535,246,Manhattan,West Chelsea/Hudson Yards
6536,75,Manhattan,East Harlem South
6537,234,Manhattan,Union Sq
6538,152,Manhattan,Manhattanville
6539,163,Manhattan,Midtown North
6540,141,Manhattan,Lenox Hill West
