BoroName,BoroCode,CTLabel,CT2010,BoroCT2010,CDEligibil,NTACode,NTAName,PUMA,Shape_Leng,Shape_Area
Brooklyn,3,391,39100,3039100,E,BK78,Bushwick South,4002,6244.833686,1788881.479
Staten Island,5,208.04,20804,5020804,I,SI32,Rossville-Woodrow,3901,16137.20995,14324580.1
Brooklyn,3,872,87200,3087200,E,BK91,East Flatbush-Farragut,4010,5610.411909,1583318.257
Brooklyn,3,874.01,87401,3087401,E,BK60,Prospect Lefferts Gardens-Wingate,4011,5380.177876,1405622.922
Manhattan,1,147,14700,1014700,I,MN14,Lincoln Square,3806,3365.901087,703936.3915
Manhattan,1,151,15100,1015100,I,MN14,Lincoln Square,3806,10114.76355,3579761.306
Manhattan,1,136,13600,1013600,I,MN32,Yorkville,3805,6238.229764,2358422.93
Brooklyn,3,33,3300,3003300,I,BK68,Fort Greene,4004,6435.6038,1773979.493
Brooklyn,3,724,72400,3072400,I,BK58,Flatlands,4009,6556.412324,2068970.088
Brooklyn,3,944.02,94402,3094402,E,BK58,Flatlands,4009,4373.555944,1150874.293
Brooklyn,3,1104,110400,3110400,I,BK82,East New York,4008,14967.90294,8007940.397
Brooklyn,3,1122,112200,3112200,E,BK85,East New York (Pennsylvania Ave),4007,5931.017107,1747124.122
Brooklyn,3,1214,121400,3121400,E,BK82,East New York,4008,5466.969991,1831282.518
Queens,4,52,5200,4005200,E,QN53,Woodhaven,4111,5321.97234,1405250.199
