STT,pickup_longitude,pickup_latitude,PUcity,PUdistrict
301,-74.00881,40.71917,New York,Tribeca
302,-73.97589,40.75473,New York,Midtown Center
303,-73.96362,40.77437,New York,Upper East Side
304,-73.95823,40.71811,Brooklyn,Greenpoint
305,-74.00677,40.73582,New York,West Village
306,-73.98572,40.76302,New York,Clinton
307,-73.99573,40.73356,New York,Greenwich Village
308,-74.00319,40.73503,New York,West Village
309,-73.98971,40.77171,New York,Lincoln Square
310,-73.96971,40.78576,New York,Upper West Side
311,-73.96877,40.79891,New York,Upper West Side
312,-74.00463,40.74695,New York,Chelsea
313,-73.987,40.74131,New York,Midtown South Central
314,-74.00273,40.71839,New York,Tribeca
315,-74.00435,40.70759,New York,Financial District
316,-73.99686,40.73714,New York,Greenwich Village
317,-73.98874,40.71955,New York,Lower East Side
318,-73.97738,40.76459,New York,Clinton
319,-73.98838,40.76918,New York,Clinton
320,-73.96787,40.76281,New York,Upper East Side
321,-73.96727,40.76008,New York,Turtle Bay
322,-74.00018,40.7616,New York,Hells Kitchen
323,-73.97183,40.75023,New York,Turtle Bay
324,-73.87495,40.77398,Flushing,
325,-74.0747,40.74014,Jersey City,West Side
326,-74.00008,40.72366,New York,Soho
327,-73.97056,40.75911,New York,Midtown Center
328,-74.00374,40.726,New York,Soho
329,-73.95892,40.76361,New York,Upper East Side
330,-73.98653,40.75648,New York,Theater District-Times Square
331,-73.98101,40.75491,New York,Midtown Center
332,-73.99713,40.71927,New York,Little Italy
333,-73.95179,40.73482,Brooklyn,Greenpoint
334,-73.97084,40.79859,New York,Upper West Side
335,-73.97234,40.78649,New York,Upper West Side
336,-73.98152,40.76975,New York,Lincoln Square
337,-73.98687,40.73383,New York,Gramercy Park
338,-73.9577,40.7687,New York,Upper East Side
339,-74.00018,40.722,New York,Soho
340,-73.9924,40.74527,New York,Chelsea
341,-73.97948,40.76651,New York,Clinton
342,-73.97842,40.76502,New York,Clinton
343,-73.95086,40.72381,Brooklyn,Greenpoint
344,-73.95324,40.77591,New York,Yorkville
345,-74.00344,40.73276,New York,West Village
346,-73.98288,40.72717,New York,East Village
347,-73.97095,40.79837,New York,Upper West Side
348,-74.00617,40.74134,New York,Chelsea
349,-74.01133,40.71109,New York,Financial District
350,-73.969,40.76451,New York,Upper East Side
351,-73.99179,40.72633,New York,East Village
352,-73.98128,40.76011,New York,Theater District-Times Square
353,-73.98854,40.75456,New York,Garment District
354,-73.99459,40.75138,New York,Chelsea
355,-73.97994,40.72036,New York,East Village
356,-74.00468,40.70726,New York,Financial District
357,-73.9715,40.7818,New York,Upper West Side
358,-73.98965,40.72992,New York,Greenwich Village
359,-74.0029,40.73916,New York,West Village
360,-73.98314,40.72672,New York,East Village
361,-73.96821,40.76511,New York,Upper East Side
362,-73.9924,40.74334,New York,Midtown South Central
363,-73.95244,40.78362,New York,Upper East Side
364,-73.99131,40.73025,New York,Greenwich Village
365,-73.97306,40.75326,New York,Midtown Center
366,-73.9703,40.75704,New York,Midtown Center
367,-73.98885,40.74381,New York,Midtown South Central
368,-73.99218,40.73802,New York,Flatiron District
369,-73.97248,40.67735,Brooklyn,Park Slope
370,-73.97925,40.75292,New York,Midtown Center
371,-73.9373,40.79771,New York,East Harlem
372,-73.99948,40.7301,New York,Greenwich Village
373,-73.9639,40.77447,New York,Upper East Side
374,-73.97997,40.74903,New York,Midtown South Central
375,-73.77682,40.64534,Jamaica,
376,-73.98543,40.73683,New York,Gramercy Park
377,-73.97378,40.76302,New York,Midtown Center
378,-73.95535,40.77854,New York,Upper East Side
379,-74.01681,40.70852,New York,Battery Park City
380,-73.97668,40.75482,New York,Midtown Center
381,-73.97252,40.75529,New York,Midtown Center
382,-73.9807,40.748,New York,Midtown South Central
383,-73.97789,40.72937,New York,Stuyvesant Town
384,-73.96976,40.75697,New York,Turtle Bay
385,-73.99195,40.75408,New York,Garment District
386,-73.87309,40.77412,Flushing,
387,-73.7822,40.64464,Jamaica,
388,-73.99038,40.75692,New York,Garment District
389,-73.95138,40.78101,New York,Yorkville
390,-74.00163,40.72768,New York,Soho
391,-73.96564,40.75798,New York,Turtle Bay
392,-73.98237,40.77648,New York,Lincoln Square
393,-73.99932,40.73405,New York,Greenwich Village
394,-73.9657,40.76278,New York,Upper East Side
395,-73.9825,40.7311,New York,East Village
396,-73.99921,40.76068,New York,Hells Kitchen
397,-73.96981,40.76578,New York,Upper East Side
398,-73.98546,40.75153,New York,Midtown South Central
399,0,0,,
400,-73.94543,40.77435,New York,Yorkville
401,-73.96091,40.76985,New York,Upper East Side
402,-73.98695,40.72973,New York,East Village
403,-73.97861,40.77235,New York,Lincoln Square
404,-73.95424,40.78707,New York,Upper East Side
405,-73.98613,40.72653,New York,East Village
406,-73.98915,40.71848,New York,Lower East Side
407,-73.98505,40.75276,New York,Midtown South Central
408,-73.77671,40.6454,Jamaica,
409,-73.97544,40.752,New York,Midtown Center
410,-73.97893,40.78513,New York,Upper West Side
411,-73.94483,40.79425,New York,East Harlem
412,-73.98453,40.76932,New York,Clinton
413,-73.98087,40.76322,New York,Clinton
414,-73.99942,40.75942,New York,Hells Kitchen
415,-73.98074,40.77925,New York,Upper West Side
416,-73.9911,40.74563,New York,Chelsea
417,-73.94827,40.81657,New York,Harlem
418,-73.9664,40.7615,New York,Upper East Side
419,-73.98927,40.73028,New York,East Village
420,-74.00304,40.73328,New York,West Village
421,-73.97097,40.79856,New York,Upper West Side
422,-73.99871,40.76067,New York,Hells Kitchen
423,-73.95265,40.76654,New York,Upper East Side
424,-73.94873,40.78166,New York,Yorkville
425,-73.98628,40.75737,New York,Theater District-Times Square
426,-73.98635,40.7571,New York,Theater District-Times Square
427,-73.98335,40.76086,New York,Theater District-Times Square
428,-73.98704,40.75614,New York,Theater District-Times Square
429,-73.97772,40.73825,New York,Kips Bay
430,-73.9918,40.73114,New York,Greenwich Village
431,-73.99088,40.69299,Brooklyn,Downtown Brooklyn
432,-73.99106,40.75023,New York,Chelsea
433,-73.97466,40.75658,New York,Midtown Center
434,-73.97948,40.763,New York,Clinton
435,-73.9934,40.74206,New York,Flatiron District
436,-74.00616,40.73528,New York,West Village
437,-73.98978,40.74,New York,Flatiron District
438,-73.78114,40.6449,Jamaica,
439,-73.99177,40.76487,New York,Clinton
440,-73.96113,40.76067,New York,Upper East Side
441,-73.94896,40.78183,New York,Yorkville
442,-73.98124,40.74713,New York,Murray Hill
443,-73.98204,40.76859,New York,Clinton
444,-73.97132,40.78312,New York,Upper West Side
445,-73.98883,40.74531,New York,Midtown South Central
446,-73.98063,40.75359,New York,Midtown Center
447,-73.87454,40.77409,Flushing,
448,-73.95248,40.77839,New York,Yorkville
449,-73.95405,40.76698,New York,Upper East Side
450,-73.94883,40.77093,New York,Yorkville
451,-73.98758,40.7501,New York,Garment District
452,-73.97727,40.76459,New York,Clinton
453,-73.97519,40.75224,New York,Midtown Center
454,-73.99397,40.74739,New York,Chelsea
455,-73.98954,40.73747,New York,Flatiron District
456,-73.99638,40.74809,New York,Chelsea
457,-73.96737,40.77234,New York,Central Park
458,-73.9931,40.68279,Brooklyn,Carroll Gardens
459,-73.99362,40.74571,New York,Chelsea
460,-74.00177,40.73061,New York,West Village
461,-73.98757,40.69621,Brooklyn,Downtown Brooklyn
462,-74.00588,40.74011,New York,West Village
463,-73.95336,40.77942,New York,Yorkville
464,-74.01146,40.71059,New York,Financial District
465,-73.96856,40.78666,New York,Upper West Side
466,-73.98764,40.77039,New York,Clinton
467,-74.00631,40.73348,New York,West Village
468,-73.98525,40.74797,New York,Koreatown
469,-73.97912,40.72798,New York,East Village
470,-73.95913,40.7718,New York,Upper East Side
471,-73.98207,40.76342,New York,Clinton
472,-73.86316,40.76928,Flushing,
473,-74.0066,40.73941,New York,West Village
474,-74.00261,40.73962,New York,West Village
475,-73.98137,40.75871,New York,Theater District-Times Square
476,-73.8853,40.77301,Flushing,
477,-73.97027,40.76252,New York,Midtown Center
478,-73.9922,40.75991,New York,Clinton
479,-73.97837,40.75238,New York,Midtown South Central
480,0,0,,
481,-73.95405,40.71932,Brooklyn,Greenpoint
482,-73.98613,40.76733,New York,Clinton
483,-73.98984,40.73415,New York,Greenwich Village
484,-73.96945,40.78512,New York,Central Park
485,-73.98689,40.76142,New York,Clinton
486,-73.99082,40.74156,New York,Flatiron District
487,-73.78201,40.64458,Jamaica,
488,0,0,,
489,-73.95056,40.77742,New York,Yorkville
490,-73.99124,40.7703,New York,Clinton
491,-73.87305,40.77407,Flushing,
492,-73.98467,40.76384,New York,Theater District-Times Square
493,-73.96483,40.76019,New York,Turtle Bay
494,-73.98295,40.74175,New York,Kips Bay
495,-73.96995,40.7576,New York,Midtown Center
496,-74.00845,40.72085,New York,Tribeca
497,-74.00406,40.73759,New York,West Village
498,-73.97919,40.74421,New York,Kips Bay
499,-73.96263,40.77845,New York,Upper East Side
500,-73.97498,40.7931,New York,Upper West Side
501,-73.94006,40.67213,Brooklyn,Bedford-Stuyvesant
502,-74.01135,40.71485,New York,Tribeca
503,-73.98865,40.7226,New York,Lower East Side
504,-73.99601,40.74881,New York,Chelsea
505,-73.95758,40.77021,New York,Upper East Side
506,-73.96973,40.75771,New York,Midtown Center
507,-73.95348,40.74139,Long Island City,Hunters Point
508,-73.98753,40.75987,New York,Theater District-Times Square
509,0,0,,
510,-73.87501,40.77401,Flushing,
511,-73.98417,40.76117,New York,Theater District-Times Square
512,-73.96232,40.79498,New York,Upper West Side
513,-74.00185,40.73561,New York,West Village
514,-74.00284,40.75527,New York,Chelsea
515,-73.96494,40.77496,New York,Upper East Side
516,-73.94752,40.77939,New York,Yorkville
517,-73.98453,40.74853,New York,Koreatown
518,-74.00841,40.73406,New York,West Village
519,-73.95652,40.7749,New York,Yorkville
520,-73.98121,40.75341,New York,Midtown South Central
521,0,0,,
522,-73.98202,40.76281,New York,Theater District-Times Square
523,-73.99438,40.75127,New York,Chelsea
524,-73.96112,40.76935,New York,Upper East Side
525,-73.96182,40.75985,New York,Upper East Side
526,-73.95399,40.77457,New York,Yorkville
527,-74.00401,40.73275,New York,West Village
